location,metric,count
St. Louis,Feb 24 2023 - Neutral,421
St. Louis,Feb 24 2023 - Negative,227
St. Louis,Feb 24 2023 - Positive,219
St. Louis,Feb 25 2023,1271
St. Louis,Feb 25 2023 - Neutral,555
St. Louis,Feb 25 2023 - Negative,302
St. Louis,Feb 25 2023 - Positive,320
St. Louis,Feb 26 2023,1132
St. Louis,Feb 26 2023 - Neutral,463
St. Louis,Feb 26 2023 - Negative,316
St. Louis,Feb 26 2023 - Positive,275
St. Louis,Feb 27 2023,1054
St. Louis,Feb 27 2023 - Neutral,418
St. Louis,Feb 27 2023 - Negative,343
St. Louis,Feb 27 2023 - Positive,224
St. Louis,Feb 28 2023,925
St. Louis,Feb 28 2023 - Neutral,363
St. Louis,Feb 28 2023 - Negative,262
St. Louis,Feb 28 2023 - Positive,229
St. Louis,Mar 01 2023,1271
St. Louis,Mar 01 2023 - Neutral,484
St. Louis,Mar 01 2023 - Negative,274
St. Louis,Mar 01 2023 - Positive,433
St. Louis,Mar 02 2023,1228
St. Louis,Mar 02 2023 - Neutral,479
St. Louis,Mar 02 2023 - Negative,326
St. Louis,Mar 02 2023 - Positive,302
St. Louis,Mar 03 2023,1161
St. Louis,Mar 03 2023 - Neutral,464
St. Louis,Mar 03 2023 - Negative,311
St. Louis,Mar 03 2023 - Positive,277
St. Louis,Mar 04 2023,1184
St. Louis,Mar 04 2023 - Neutral,502
St. Louis,Mar 04 2023 - Negative,298
St. Louis,Mar 04 2023 - Positive,270
St. Louis,Mar 05 2023,945
St. Louis,Mar 05 2023 - Neutral,386
St. Louis,Mar 05 2023 - Negative,236
St. Louis,Mar 05 2023 - Positive,219
St. Louis,Mar 06 2023,932
St. Louis,Mar 06 2023 - Neutral,382
St. Louis,Mar 06 2023 - Negative,236
St. Louis,Mar 06 2023 - Positive,251
St. Louis,Mar 07 2023,850
St. Louis,Mar 07 2023 - Neutral,345
St. Louis,Mar 07 2023 - Negative,225
St. Louis,Mar 07 2023 - Positive,217
St. Louis,Mar 08 2023,875
St. Louis,Mar 08 2023 - Neutral,364
St. Louis,Mar 08 2023 - Negative,219
St. Louis,Mar 08 2023 - Positive,226
St. Louis,Mar 09 2023,789
St. Louis,Mar 09 2023 - Neutral,311
St. Louis,Mar 09 2023 - Negative,230
St. Louis,Mar 09 2023 - Positive,189
St. Louis,Mar 10 2023,1009
St. Louis,Mar 10 2023 - Neutral,410
St. Louis,Mar 10 2023 - Negative,281
St. Louis,Mar 10 2023 - Positive,262
St. Louis,Mar 11 2023,1064
St. Louis,Mar 11 2023 - Neutral,435
St. Louis,Mar 11 2023 - Negative,310
St. Louis,Mar 11 2023 - Positive,252
St. Louis,Mar 12 2023,907
St. Louis,Mar 12 2023 - Neutral,402
St. Louis,Mar 12 2023 - Negative,270
St. Louis,Mar 12 2023 - Positive,174
St. Louis,Mar 13 2023,895
St. Louis,Mar 13 2023 - Neutral,385
St. Louis,Mar 13 2023 - Negative,272
St. Louis,Mar 13 2023 - Positive,194
St. Louis,Mar 14 2023,929
St. Louis,Mar 14 2023 - Neutral,381
St. Louis,Mar 14 2023 - Negative,294
St. Louis,Mar 14 2023 - Positive,205
St. Louis,Mar 15 2023,1137
St. Louis,Mar 15 2023 - Neutral,463
St. Louis,Mar 15 2023 - Negative,300
St. Louis,Mar 15 2023 - Positive,313
St. Louis,Mar 16 2023,949
St. Louis,Mar 16 2023 - Neutral,390
St. Louis,Mar 16 2023 - Negative,249
St. Louis,Mar 16 2023 - Positive,232
St. Louis,Mar 17 2023,927
St. Louis,Mar 17 2023 - Neutral,403
St. Louis,Mar 17 2023 - Negative,243
St. Louis,Mar 17 2023 - Positive,207
St. Louis,Mar 18 2023,881
St. Louis,Mar 18 2023 - Neutral,365
