metric,Carondelet,Central West End,Cherokee Antique Row,Cherokee Street,Chesterfield,Clayton,Downtown St. Louis,Eureka,Forest Park,Grand Center Arts District,Kimmswick,Kirkwood,Laclede's Landing,Lafayette Square,Maplewood,Maryland Heights,North County,Soulard,South Grand,St. Louis,The Delmar Loop,The Grove,The Hill,The Ville,Washington University in St. Louis,Webster Groves
Mar 29 - Apr 04 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar 29 - Apr 04 2023 - Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar 29 - Apr 04 2023 - Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar 29 - Apr 04 2023 - Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb 01 2023,0,1,0,0,4,6,98,3,0,0,0,2,0,0,3,5,0,3,0,31,0,0,1,0,0,3
Feb 01 2023 - Neutral,0,0,0,0,4,4,78,3,0,0,0,2,0,0,3,5,0,3,0,22,0,0,0,0,0,1
Feb 01 2023 - Negative,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Feb 01 2023 - Positive,0,1,0,0,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,2
Feb 02 2023,0,4,0,1,2,1,118,1,0,0,0,0,0,0,1,1,0,2,1,35,0,2,0,0,0,3
Feb 02 2023 - Neutral,0,4,0,0,1,1,94,0,0,0,0,0,0,0,1,0,0,2,1,25,0,2,0,0,0,3
Feb 02 2023 - Negative,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Feb 02 2023 - Positive,0,0,0,1,0,0,24,1,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0
Feb 03 2023,1,6,0,0,4,5,116,0,7,0,0,1,0,2,5,3,0,0,0,34,0,0,0,0,0,2
Feb 03 2023 - Neutral,1,4,0,0,3,4,94,0,7,0,0,1,0,2,5,3,0,0,0,24,0,0,0,0,0,1
Feb 03 2023 - Negative,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Feb 03 2023 - Positive,0,1,0,0,1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1
Feb 04 2023,0,2,0,1,3,1,92,1,0,0,0,1,0,0,1,4,0,0,0,25,0,2,2,0,0,5
Feb 04 2023 - Neutral,0,1,0,1,2,1,64,1,0,0,0,0,0,0,1,4,0,0,0,14,0,0,2,0,0,3
Feb 04 2023 - Negative,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Feb 04 2023 - Positive,0,1,0,0,1,0,26,0,0,0,0,1,0,0,0,0,0,0,0,10,0,2,0,0,0,2
Feb 05 2023,0,1,0,0,3,1,100,0,0,0,0,0,0,0,2,3,0,1,0,15,0,1,1,0,0,3
Feb 05 2023 - Neutral,0,1,0,0,2,1,78,0,0,0,0,0,0,0,1,2,0,1,0,10,0,1,1,0,0,3
