metric,Carondelet,Central West End,Cherokee Antique Row,Cherokee Street,Chesterfield,Clayton,Downtown St. Louis,Eureka,Forest Park,Grand Center Arts District,Kimmswick,Kirkwood,Laclede's Landing,Lafayette Square,Maplewood,Maryland Heights,North County,Soulard,South Grand,St. Louis,The Delmar Loop,The Grove,The Hill,The Ville,Washington University in St. Louis,Webster Groves
Mar 22 - Mar 28 2023 - Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar 29 - Apr 04 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar 29 - Apr 04 2023 - Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar 29 - Apr 04 2023 - Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar 29 - Apr 04 2023 - Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb 01 2023,0,2,0,1,75,48,110,13,0,0,0,17,0,0,43,29,5,3,0,940,0,0,2,2,0,12
Feb 01 2023 - Neutral,0,0,0,0,36,19,81,6,0,0,0,11,0,0,15,14,1,3,0,387,0,0,0,0,0,7
Feb 01 2023 - Negative,0,1,0,0,19,12,4,1,0,0,0,3,0,0,13,5,0,0,0,229,0,0,0,0,0,0
Feb 01 2023 - Positive,0,1,0,1,17,9,25,6,0,0,0,2,0,0,12,6,4,0,0,263,0,0,2,0,0,3
Feb 02 2023,0,5,0,1,68,61,130,8,0,0,0,23,0,0,44,49,5,2,1,937,0,2,2,0,0,33
Feb 02 2023 - Neutral,0,5,0,0,29,26,101,2,0,0,0,9,0,0,19,16,3,2,1,395,0,2,1,0,0,14
Feb 02 2023 - Negative,0,0,0,0,24,15,0,3,0,0,0,10,0,0,14,10,0,0,0,261,0,0,0,0,0,15
Feb 02 2023 - Positive,0,0,0,1,11,20,28,2,0,0,0,4,0,0,7,14,2,0,0,186,0,0,1,0,0,1
Feb 03 2023,1,6,0,0,63,55,132,13,7,0,1,13,0,2,46,40,7,0,0,1251,0,0,0,0,0,8
Feb 03 2023 - Neutral,1,4,0,0,31,22,105,4,7,0,0,3,0,2,21,30,2,0,0,514,0,0,0,0,0,1
Feb 03 2023 - Negative,0,1,0,0,9,17,1,4,0,0,0,5,0,0,11,1,0,0,0,362,0,0,0,0,0,2
Feb 03 2023 - Positive,0,1,0,0,22,15,24,2,0,0,1,5,0,0,12,5,5,0,0,270,0,0,0,0,0,4
Feb 04 2023,0,6,0,2,66,39,114,6,0,0,0,24,0,0,66,82,2,0,1,917,0,2,3,0,0,23
Feb 04 2023 - Neutral,0,3,0,2,25,14,76,3,0,0,0,7,0,0,18,46,0,0,0,352,0,0,2,0,0,15
Feb 04 2023 - Negative,0,2,0,0,10,13,4,1,0,0,0,4,0,0,8,7,0,0,0,246,0,0,0,0,0,3
Feb 04 2023 - Positive,0,1,0,0,24,10,31,2,0,0,0,11,0,0,34,10,2,0,0,244,0,2,1,0,0,4
Feb 05 2023,0,1,0,0,87,27,122,4,1,0,0,26,0,1,51,29,6,1,0,988,0,4,2,0,0,9
