local_timezone,device_id,start_timestamp,end_timestamp,provider,double_latitude,double_longitude,distance,speed,is_stationary,distance_from_home,home_label,cluster_label
America/New_York,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676310909266,1676311089265,gps,38.6481559701528,-90.3116958576948,0.0,0.0,1,3283.247836891273,1,2.0
America/New_York,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676311089266,1676311269266,gps,38.6481559701528,-90.3116958576948,0.0,0.0,1,3283.247836891273,1,2.0
America/New_York,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676311269267,1676311449267,gps,38.6481559701528,-90.3116958576948,0.0,0.0,1,3283.247836891273,1,2.0
America/New_York,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676311449268,1676311629267,gps,38.6481559701528,-90.3116958576948,0.0,0.0,1,3283.247836891273,1,2.0
America/New_York,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676311629268,1676311809268,gps,38.6481559701528,-90.3116958576948,0.0,0.0,1,3283.247836891273,1,2.0
America/New_York,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676311809269,1676311989268,gps,38.6481559701528,-90.3116958576948,0.0,0.0,1,3283.247836891273,1,2.0
America/New_York,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676311989269,1676312169269,gps,38.6481559701528,-90.3116958576948,0.0,0.0,1,3283.247836891273,1,2.0
America/New_York,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676312169270,1676312349269,gps,38.6481559701528,-90.3116958576948,0.0,0.0,1,3283.247836891273,1,2.0
America/New_York,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676312349270,1676312529244,gps,38.6481559701528,-90.3116958576948,0.0,0.0,1,3283.247836891273,1,2.0
America/New_York,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676312529245,1676312709242,gps,38.6481559701528,-90.3116958576948,0.0,0.0,1,3283.247836891273,1,2.0
America/New_York,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676312709243,1676312889241,gps,38.6481559701528,-90.3116958576948,0.0,0.0,1,3283.247836891273,1,2.0
America/New_York,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676312889242,1676313069240,gps,38.6481559701528,-90.3116958576948,0.0,0.0,1,3283.247836891273,1,2.0
America/New_York,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676313069241,1676313249239,gps,38.6481559701528,-90.3116958576948,0.0,0.0,1,3283.247836891273,1,2.0
America/New_York,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676313249240,1676313429238,gps,38.6481559701528,-90.3116958576948,0.0,0.0,1,3283.247836891273,1,2.0
America/New_York,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676313429239,1676313609237,gps,38.6481559701528,-90.3116958576948,0.0,0.0,1,3283.247836891273,1,2.0
America/New_York,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676313609238,1676313789236,gps,38.6481559701528,-90.3116958576948,0.0,0.0,1,3283.247836891273,1,2.0
America/New_York,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676313789237,1676313969235,gps,38.6481559701528,-90.3116958576948,0.0,0.0,1,3283.247836891273,1,2.0
America/New_York,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676313969236,1676314149233,gps,38.6481559701528,-90.3116958576948,0.0,0.0,1,3283.247836891273,1,2.0
America/New_York,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676314149234,1676314329168,gps,38.6481559701528,-90.3116958576948,0.0,0.0,1,3283.247836891273,1,2.0
