"timestamp","device_id","sensor"
1676305149000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676305329000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676305449000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676305509000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676305689000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676305749000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676305869000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676306049000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676306229000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676306349000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676306409000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676306589000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676306649000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676306769000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676306949000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676307129000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676307249000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676307309000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676307489000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676307549000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676307669000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676307849000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676308029000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676308149000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676308209000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676308389000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676308449000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676308569000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676308749000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676308929000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676309049000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676309109000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676309289000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676309349000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676309469000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676309649000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676309829000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
1676309949000,"c8524dee-8a13-45b9-85f8-9073f7a9177e",1
