pid,provider,week_start,week_end,n_rows,week_start_sum,week_end_sum,hometime_sum,disttravelled_sum,rog_sum,maxdiam_sum,maxhomedist_sum,siglocsvisited_sum,avgflightlen_sum,stdflightlen_sum,avgflightdur_sum,stdflightdur_sum,probpause_sum,siglocentropy_sum,minsmissing_sum,circdnrtn_sum,wkenddayrtn_sum,minutes_data_used_sum,week_start_mean,week_end_mean,hometime_mean,disttravelled_mean,rog_mean,maxdiam_mean,maxhomedist_mean,siglocsvisited_mean,avgflightlen_mean,stdflightlen_mean,avgflightdur_mean,stdflightdur_mean,probpause_mean,siglocentropy_mean,minsmissing_mean,circdnrtn_mean,wkenddayrtn_mean,minutes_data_used_mean
c8524dee-8a13-45b9-85f8-9073f7a9177e,barnett,2023-02-13,2023-02-19,7,2023-02-13,2023-02-19,6161.762399999302,238973.056499516,7973.354739397164,25024.13029382449,23749.768488743197,14,1183.6998112988829,1486.911263675197,368.525436029289,165.8203924461609,6.087777203282791,3.07852726977135,9399.762399999297,4.790786827551533,5.367064308240779,8144,2023-02-13,2023-02-19,880.2517714284717,34139.00807135943,1139.0506770567376,3574.8757562606415,3392.8240698204568,2.0,169.09997304269754,212.41589481074243,52.646490861326996,23.6886274923087,0.8696824576118273,0.4397896099673357,1342.8231999998995,0.6843981182216475,0.7667234726058255,1163.4285714285713
c8524dee-8a13-45b9-85f8-9073f7a9177e,barnett,2023-02-20,2023-02-26,7,2023-02-20,2023-02-26,6126.0,257909.16187019701,9506.00465841104,27475.07330988702,26107.831365597056,14,1085.731396227813,1736.7678833996251,401.1744952090303,160.93318081385502,5.768055555555555,2.7897612816159327,10077.49999999999,5.068049270990449,5.591886055121349,8721,2023-02-20,2023-02-26,875.1428571428571,36844.16598145672,1358.0006654872916,3925.010472841003,3729.690195085294,2.0,155.10448517540186,248.10969762851786,57.31064217271861,22.99045440197929,0.8240079365079364,0.39853732594513325,1439.6428571428557,0.7240070387129213,0.7988408650173355,1245.857142857143
c8524dee-8a13-45b9-85f8-9073f7a9177e,barnett,2023-02-27,2023-03-05,2,2023-02-27,2023-03-05,1670.4042666673658,20294.85669281973,2836.88175062167,6858.05878196993,6763.966934585391,4,523.579647529793,662.725761134369,120.6307977736549,51.373820699792304,1.9242852544243099,0.732333211898036,2531.40426666737,1.578223981900453,1.652123611682435,2072,2023-02-27,2023-03-05,835.2021333336829,10147.428346409864,1418.440875310835,3429.029390984965,3381.9834672926954,2.0,261.7898237648965,331.3628805671845,60.31539888682745,25.686910349896152,0.9621426272121549,0.366166605949018,1265.702133333685,0.7891119909502265,0.8260618058412175,1036.0
