pid,provider,week_start,week_end,n_rows,week_start_sum,week_end_sum,phone_locations_doryab_avglengthstayatclusters_sum,phone_locations_doryab_outlierstimepercent_sum,phone_locations_doryab_totaldistance_sum,phone_locations_doryab_timeattop3location_sum,phone_locations_doryab_varspeed_sum,phone_locations_doryab_timeattop1location_sum,phone_locations_doryab_locationentropy_sum,phone_locations_doryab_radiusgyration_sum,phone_locations_doryab_timeathome_sum,phone_locations_doryab_locationvariance_sum,phone_locations_doryab_numberlocationtransitions_sum,phone_locations_doryab_stdlengthstayatclusters_sum,phone_locations_doryab_movingtostaticratio_sum,phone_locations_doryab_minlengthstayatclusters_sum,phone_locations_doryab_numberofsignificantplaces_sum,phone_locations_doryab_timeattop2location_sum,phone_locations_doryab_normalizedlocationentropy_sum,phone_locations_doryab_avgspeed_sum,phone_locations_doryab_loglocationvariance_sum,phone_locations_doryab_minutesdataused_sum,phone_locations_doryab_maxlengthstayatclusters_sum,phone_locations_doryab_homelabel_sum,week_start_mean,week_end_mean,phone_locations_doryab_avglengthstayatclusters_mean,phone_locations_doryab_outlierstimepercent_mean,phone_locations_doryab_totaldistance_mean,phone_locations_doryab_timeattop3location_mean,phone_locations_doryab_varspeed_mean,phone_locations_doryab_timeattop1location_mean,phone_locations_doryab_locationentropy_mean,phone_locations_doryab_radiusgyration_mean,phone_locations_doryab_timeathome_mean,phone_locations_doryab_locationvariance_mean,phone_locations_doryab_numberlocationtransitions_mean,phone_locations_doryab_stdlengthstayatclusters_mean,phone_locations_doryab_movingtostaticratio_mean,phone_locations_doryab_minlengthstayatclusters_mean,phone_locations_doryab_numberofsignificantplaces_mean,phone_locations_doryab_timeattop2location_mean,phone_locations_doryab_normalizedlocationentropy_mean,phone_locations_doryab_avgspeed_mean,phone_locations_doryab_loglocationvariance_mean,phone_locations_doryab_minutesdataused_mean,phone_locations_doryab_maxlengthstayatclusters_mean,phone_locations_doryab_homelabel_mean
c8524dee-8a13-45b9-85f8-9073f7a9177e,doryab,2023-02-13,2023-02-19,7,2023-02-13,2023-02-19,3297.115498611116,0.0343513802135913,235808.6056340932,115.9886833333333,3708.800126964321,5976.663250000012,3.363896931899821,7441.779245620304,5962.663483333345,0.0012627196125957732,33.0,2414.6607664352146,5.54898784972606,1575.9529833333356,24.0,1143.91255,0.9139608601096693,44.30971189324448,-32.37470346315527,9400.646800000015,6121.7802666666785,7.0,2023-02-13,2023-02-19,471.016499801588,0.004907340030513042,33686.94366201331,16.5698119047619,529.8285895663315,853.8090357142875,0.48055670455711724,1063.1113208029005,851.8090690476207,0.00018038851608511046,4.714285714285714,344.9515380621735,0.7927125499608657,225.1361404761908,3.4285714285714284,163.41607857142859,0.13056583715852418,6.329958841892069,-4.62495763759361,1342.949542857145,874.5400380952398,1.0
c8524dee-8a13-45b9-85f8-9073f7a9177e,doryab,2023-02-20,2023-02-26,7,2023-02-20,2023-02-26,2242.557239722224,0.0172168061252,329664.4167749836,198.99825000000024,3543.3579968967624,4970.126566666672,4.214539908804565,9479.677059385567,4966.126633333339,0.0017401989467151406,35.0,1996.792678092821,4.790360628641281,787.9742666666672,27.0,1394.8905833333345,0.9960713390420624,46.72667677998039,-28.705864770255687,10079.788766666685,4970.126566666672,7.0,2023-02-20,2023-02-26,320.3653199603177,0.0024595437321714288,47094.91668214051,28.42832142857146,506.19399955668035,710.0180809523818,0.6020771298292236,1354.239579912224,709.4466619047627,0.0002485998495307344,5.0,285.256096870403,0.6843372326630401,112.56775238095246,3.857142857142857,199.2700833333335,0.1422959055774375,6.675239539997198,-4.100837824322241,1439.9698238095264,710.0180809523818,1.0
c8524dee-8a13-45b9-85f8-9073f7a9177e,doryab,2023-02-27,2023-03-05,2,2023-02-27,2023-03-05,709.0189000000012,0.0073802321579146,40380.00430865992,0.0,478.250601669538,1212.4945833333356,1.3186261954914138,2964.5162674677435,1206.5000166666691,0.0004569174041173,7.0,471.4651023524318,1.6043349303675811,349.9707666666667,6.0,674.6217500000002,0.49419699565416186,11.080902597740332,-7.283315559302146,2403.493016666674,1212.4945833333356,2.0,2023-02-27,2023-03-05,354.5094500000006,0.0036901160789573,20190.00215432996,0.0,239.125300834769,606.2472916666678,0.6593130977457069,1482.2581337338718,603.2500083333346,0.00022845870205865,3.5,235.7325511762159,0.8021674651837906,174.98538333333335,3.0,337.3108750000001,0.24709849782708093,5.540451298870166,-3.641657779651073,1201.746508333337,606.2472916666678,1.0
